source_file,F0avg,F0std,F0max,F0min,F0skew,F0kurt,F0tiltavg,F0mseavg,F0tiltstd,F0msestd,F0tiltmax,F0msemax,F0tiltmin,F0msemin,F0tiltskw,F0mseskw,F0tiltku,F0mseku,1F0mean,1F0std,1F0max,1F0min,1F0skw,1F0ku,lastF0avg,lastF0std,lastF0max,lastF0min,lastF0skw,lastF0ku,avgEvoiced,stdEvoiced,skwEvoiced,kurtosisEvoiced,avgtiltEvoiced,stdtiltEvoiced,skwtiltEvoiced,kurtosistiltEvoiced,avgmseEvoiced,stdmseEvoiced,skwmseEvoiced,kurtosismseEvoiced,avg1Evoiced,std1Evoiced,max1Evoiced,min1Evoiced,skw1Evoiced,kurtosis1Evoiced,avglastEvoiced,stdlastEvoiced,maxlastEvoiced,minlastEvoiced,skwlastEvoiced,kurtosislastEvoiced,avgEunvoiced,stdEunvoiced,skwEunvoiced,kurtosisEunvoiced,avgtiltEunvoiced,stdtiltEunvoiced,skwtiltEunvoiced,kurtosistiltEunvoiced,avgmseEunvoiced,stdmseEunvoiced,skwmseEunvoiced,kurtosismseEunvoiced,avg1Eunvoiced,std1Eunvoiced,max1Eunvoiced,min1Eunvoiced,skw1Eunvoiced,kurtosis1Eunvoiced,avglastEunvoiced,stdlastEunvoiced,maxlastEunvoiced,minlastEunvoiced,skwlastEunvoiced,kurtosislastEunvoiced,Vrate,avgdurvoiced,stddurvoiced,skwdurvoiced,kurtosisdurvoiced,maxdurvoiced,mindurvoiced,avgdurunvoiced,stddurunvoiced,skwdurunvoiced,kurtosisdurunvoiced,maxdurunvoiced,mindurunvoiced,avgdurpause,stddurpause,skwdurpause,kurtosisdurpause,maxdurpause,mindurpause,PVU,PU,UVU,VVU,VP,UP
AA08_S2,237.0162353515625,43.00233459472656,338.8426513671875,178.5723114013672,0.954117362709988,-0.2876868870300266,41.80611748255676,915.6656203359904,447.1670965398881,666.8781112738665,763.7438082227511,1637.070657937673,-461.9370733941354,160.39003613341546,0.6863832179393751,-0.0172517392057464,-0.8966452057719274,-1.9461439876244664,252.37725830078125,42.10906219482422,336.36724853515625,186.1838836669922,0.3189789093939492,-0.6435812789062916,197.92501831054688,12.917010307312012,244.96766662597656,182.90380859375,2.280068963242403,6.009469588491552,-15.753688557976178,6.267333539754682,-0.8055613850330762,0.1628246383365504,-87.35518805794555,62.591901449086016,0.1320422150268611,-1.5000000000000002,24.169849045167947,26.111399255760084,0.6591407780481532,-1.5000000000000002,-12.276329970804747,3.004520269044624,-7.791845864913984,-19.084710351602894,-0.824863576468739,0.4076408397880144,-14.464658776520055,8.166713799089866,-6.1796812796341545,-38.20658654448109,-1.714649707531625,1.892859052006842,-23.14135237750304,2.4189794542307186,0.0244437335472756,-0.8753726614630788,81.52496651438882,154.14436339585507,0.9212060013266076,-0.8689396220092269,4.865685974362109,3.7466156394375143,-0.1519591387712131,-1.7917223893545162,-18.70542922765995,1.6934417055779711,-17.011987522081977,-20.39887093323792,0.0,-2.0,-24.17104414572232,2.9609997724864576,-19.877971226154227,-31.304146023378216,-0.8690984000517001,0.4024092994059609,1.4591439688715953,0.44,0.4318178628387977,0.7000031514862186,-1.5,1.05,0.11,0.0775,0.0356195171219375,0.205372546486747,-1.029047052828266,0.13,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AA10_S143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AA09_S30,98.03538513183594,15.933830261230469,143.750244140625,68.22950744628906,0.8989229064775621,0.7491388068133946,-99.09427525553164,36.33659560153223,193.60630228186807,60.29953923895958,143.54553624203356,212.4376375018452,-522.6344299316422,0.2233231906531727,-0.7253130151570922,2.420800545293625,-0.1052296773233649,4.310010064568803,110.38822174072266,10.377854347229004,123.25072479248048,93.72276306152344,-0.4327042966931498,-1.3823401371881578,81.89276885986328,5.489903926849365,88.19502258300781,68.22950744628906,-1.4771010698963931,1.1577852058899838,-9.284185411035516,1.9038964595938244,-0.8312340448390576,-0.3129522563149793,-26.18006167126624,79.50898547557816,-0.00944445567167,-0.4775100920746302,2.821458267862359,5.420522028951182,2.3551585923762133,3.775857376989396,-6.707926879870697,2.2515968633508248,-4.434418397619352,-11.127431921376608,-0.5838827198511698,-1.2522130947790842,-11.14295702047383,1.4176378556327114,-9.67971585834923,-13.061480971942734,-0.4486094967836537,-1.5,-23.43936197980875,2.573310104110288,0.0876667805740904,-0.6385942153595667,20.0449847810944,72.46213980812377,-0.0402229675955542,-1.0250934705214478,6.082388652023184,5.193317809823102,0.4108953653977663,-0.9361675967705816,-35.77266525553011,1.689893595567578,-33.52508512706629,-38.27935928443118,-0.2264603788826291,-1.0071467852337033,-28.492764579101365,2.7671323913118377,-22.16205298441649,-31.337773900572667,1.5223268090276236,1.0899529003426922,2.4979184013322238,0.1277777777777778,0.0877848098449052,1.293692164996416,1.1132986525219444,0.34,0.03,0.0725,0.0156124949959959,-0.0246351005853962,-0.6982248520710059,0.1,0.05,0.4649999999999999,0.155,5.240680502095017e-16,-2.0,0.62,0.31,2.321775312066574,6.413793103448276,0.3619972260748959,0.6380027739251041,0.2747909199522103,0.1559139784946236
AA05_S355,243.57215881347656,32.94758987426758,321.61102294921875,172.30694580078125,0.2957825031815604,-0.8695677260995875,-98.36116576142103,186.651191777788,350.369616644022,184.9892769153905,248.7066695269413,696.663906124536,-1045.8544667561832,37.88180853213217,-1.8397765440881064,2.0325205521019387,2.485828529234131,2.876401321966682,278.1360778808594,15.999884605407717,299.9712219238281,241.0865173339844,-0.3925375634802405,-1.056220365610247,229.76947021484372,16.05998992919922,256.4293518066406,204.5005645751953,-0.12284496400747,-1.275228295408109,-17.547934485271664,4.80134617117765,-0.9316380894765732,0.5598592336031208,-47.946569169009365,63.73819580995177,-0.7637167641843507,-0.878817781845068,13.997534438585552,9.668565875898109,0.8501050604567882,0.4527133203025171,-12.742872848737363,4.554757309583048,-6.361123109364439,-27.33861614168966,-1.5359671002741484,2.5187322146021858,-18.35621894999497,3.9544158171503,-13.61644257012738,-28.211371802295496,-1.315651843566504,0.999853288283997,-30.89896888797585,2.017469084693651,0.1244735693717704,-1.134693761670503,17.235897165684342,52.52034586394174,0.4169537796478236,-1.2676788640354308,5.11032225260383,5.914577052715638,0.668727330899407,-1.0745237845391855,-35.594822875669784,0.9984184962854517,-34.11629266797848,-36.97570846378841,0.1256055409750991,-1.228778921297199,-32.320322339856915,3.050478893676821,-25.987850368490708,-36.24573230608928,0.6551981199308656,-0.6056255383094769,2.2249690976514214,0.3477777777777777,0.2510766938065727,1.2926274700796287,0.7596482469812509,0.94,0.08,0.06,0.0329983164553722,-0.0927691112343871,-1.3450645564348185,0.11,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AA09_S26,106.21170043945312,35.13017272949219,231.1776580810547,67.133056640625,2.2922560389346343,4.85234164549127,10.386170121247051,41.55513056433453,106.20160854895296,35.906259259317764,213.82919311523528,88.3156374399128,-137.48277606385977,2.0194839173657902e-27,0.5164721961459343,0.2509231118281667,-0.6095950874954235,-1.6504541173663831,100.84837341308594,8.369527816772461,108.27733612060548,81.5978012084961,-1.3446919543466826,0.3427344842575284,220.10470581054688,0.0302352923899889,220.1349334716797,220.074462890625,-0.0007569722021045,-1.9999997296621024,-12.685334492177642,2.425806355205131,-0.9698229020333046,0.5903118417337965,-22.57899251564981,37.70834002371127,0.15998348386002,-1.2549688964815946,4.512147655645161,5.725986259573843,1.4124959953697844,0.5896693183577391,-6.1856672378840045,1.4945032401553944,-5.080253140691543,-9.990299724241762,-1.938317317087474,2.335585467562436,-10.802285448085575,3.467648298946591,-6.7704456549044245,-20.810039826464937,-1.2483430332852024,1.0374988598877293,-29.619765437690283,3.413987608972492,0.47175376048434,-0.9788556568889384,3.742969622542563,103.74202022404911,0.3998819333423691,-1.2185406819160949,5.753370057620094,4.920537025872094,0.455921908325187,-1.0820523998706684,-23.33431366223415,3.831545505090176,-16.360976995598588,-29.28387748555871,0.3063512830608772,-0.690330685076916,-38.16232488132635,0.6613037245424501,-37.4033644214503,-38.8688882740467,0.027259172310833,-1.9411265309471435,2.370470707754825,0.1714285714285714,0.0784544583871199,-0.1768125356001013,-1.8076874705373287,0.26,0.07,0.098,0.0292574776766555,-0.2817396203905383,-0.6949515241505808,0.14,0.05,0.3533333333333333,0.2463511495586917,0.6757780575760673,-1.5000000000000004,0.7,0.15,1.3114174620007069,3.605442176870748,0.3637327677624602,0.6362672322375397,0.4851752021563342,0.2773584905660377
AA05_S142,253.00582885742188,43.087520599365234,340.4051208496094,88.67316436767578,-1.2229255803031545,2.9188787033094377,-219.03061726881077,378.1338460341428,241.9347848495472,445.087834755139,166.1746651785707,1758.42448761707,-603.9187367242356,80.65913353843226,-0.2324979784827016,2.1750126112474395,-1.1761398361618325,3.839653069944549,276.46636962890625,13.942596435546877,291.71246337890625,245.0194396972656,-0.9952069965393736,0.2114468645892917,215.00711059570312,18.73809051513672,253.92027282714844,199.3024444580078,1.2138719247799254,-0.1797621421792099,-16.441926054323634,5.524162049524668,-0.5779402678175216,-0.546219199980823,-87.53399602625608,124.61299103574773,-1.5976722030954458,1.28803071260005,25.58347832787037,27.0682695154354,1.41733104536772,1.3373233229403194,-8.25626159258664,1.7133990595590785,-6.6512198681521415,-11.78236591369992,-1.117959958931548,-0.1799396503936572,-19.770537581788684,3.060369023753229,-14.039429177508891,-24.6660567504066,-0.0856839187617407,-0.8882476623682636,-32.90467084678292,2.8549091004896483,0.1395744951599502,-1.1101769639765058,100.21133442706184,284.9669211968306,2.0947145062736103,3.533004103564825,5.948244008389317,6.476012665170358,0.5146434804482025,-1.4772597535705654,-21.31498071506064,1.0219567053621257,-20.199307469990675,-23.38261817198661,-0.9649436067613542,-0.2590556373943422,-37.5621521956423,4.918177390060152,-28.96239775567169,-41.86485539101382,0.944768324131016,-0.8906930148774284,2.6073004412354592,0.2738461538461538,0.1907289039262256,0.5409663673659963,-0.9391899021236654,0.63,0.05,0.0646153846153846,0.0249970412450337,-0.0874229339341852,-0.8242295110192828,0.11,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AA05_S580,242.2079162597656,38.77364349365234,326.2802734375,126.44290924072266,-0.5573379129967727,0.6214297634044614,-19.606614793195945,652.979068553547,106.46422581764992,548.7081591848225,85.03612343838206,1519.3769001667856,-162.58291429089044,148.06556189605996,-0.2078252424293219,0.6620420692387342,-1.726489649472657,-1.1642429794605778,271.70025634765625,30.69153213500977,314.6481628417969,208.8390350341797,-0.5667838075007632,-0.6438755637707403,214.89370727539065,40.79282379150391,326.2802734375,126.44290924072266,0.1047152618382721,0.7768728767911242,-18.13494693232133,8.224407024786295,-0.6749891632326702,-0.9396220638438374,-68.47674192020064,22.743079323719414,-0.6416150629850779,-1.4999999999999996,43.53767504078197,5.273429882184946,0.0396634411231423,-1.5000000000000002,-14.224376868315604,8.15867990745059,-5.105775228557111,-29.000876745592844,-0.5224762416944012,-1.265394277664733,-21.754268617333864,8.40255090075758,-13.410587549073725,-40.20489904346836,-1.1731850021477246,-0.1168115088757684,-32.10545246288724,1.2233976040012298,-0.7890799001564541,-0.8351085170562891,25.966487761671207,18.88653649673505,0.0,-2.0,1.519545891479732,1.4827198067182756,-1.3623633566753466e-16,-2.0,-29.16784626196516,2.2392095666380083,-26.12024232932552,-33.14125059418299,-0.6592497823840482,-0.8482849983517071,-35.04305866380932,0.2075856413644512,-34.84475616532457,-35.39019001976908,-0.91891001792886,-0.821932035760871,1.5384615384615383,0.2699999999999999,0.0424264068711928,-0.7071067811865456,-1.5000000000000016,0.3,0.21,0.06,0.0454606056566195,0.3193122665787533,-1.4999999999999998,0.12,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AA05_S282,242.9659881591797,44.98818206787109,332.9692077636719,102.04764556884766,-1.4856990649853663,2.7847879638085784,-294.4702905165712,247.20762510605337,629.199150634755,293.94023727814334,181.92682379319237,995.5586591230292,-1815.8557346888952,21.428383398385225,-1.7121272087620891,1.3901525857443255,1.1746551395522928,0.8553774894019104,293.17059326171875,14.077404975891112,321.0414123535156,270.3651123046875,0.3252530599760329,-1.0439179414558748,111.5291519165039,5.376893043518066,121.7873992919922,102.04764556884766,0.0701232149466096,-0.7887033204028113,-13.915294365295647,4.176555736561306,-0.8277593561619914,-0.0899237237014622,-83.40777520036691,77.36917757522045,-1.1336956172764794,0.5890485633042153,8.923262223787573,8.623155734420369,1.2705326842173872,0.6291300622464386,-8.544322966118362,2.866996137205265,-5.754626455341221,-16.187685905888586,-1.4660214012173187,1.162945737942942,-16.901357854725383,1.9569139408474157,-14.731046133111128,-21.536500103561927,-1.2067677132280348,0.838204863020132,-26.718737529008457,1.9433481338381644,0.2106777535113493,-0.829262952806728,59.30263095820076,142.88900127503635,0.7317899035929953,-0.5347583333699482,1.8418837140710265,1.3946080085451902,0.2422793777271662,-1.4811157625854632,-18.89864236282005,2.521561958809838,-16.416327377428182,-23.32691015989198,-0.7897239172600368,-0.8154590127544257,-30.40642344111329,1.7193645843092766,-28.12974448305635,-34.24432202675399,-0.8699677165892157,0.292707285100577,3.5900783289817237,0.1781818181818182,0.0885045640136127,0.2376185775531525,-1.4052601506599776,0.31,0.06,0.0627272727272727,0.0316489003373258,0.5581320753128953,-0.1463091853739837,0.13,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AA09_S71,101.27970886230467,17.63958168029785,156.8525390625,67.1297378540039,0.6680445115430039,0.0211327470942204,-172.37636440461475,30.747027302437903,237.48426077645024,40.18387561851996,137.56476199988236,161.01889590370192,-875.0583648681645,0.0003919253779007,-1.236958794072394,2.01181749625148,1.328551854384239,3.436385627617895,98.7966079711914,7.988267421722412,111.30426788330078,76.96649169921875,-0.6502976097629165,0.2786750821411323,87.68757629394531,6.60875415802002,98.1271743774414,74.65482330322266,-0.5679545217568207,-0.4255541824021334,-9.207166257926817,2.6039131097963595,-0.885446482532338,0.0672407062767901,-42.66800874342948,58.72108925751558,-1.1619044470874418,1.96516614586444,7.323036886040793,15.165490615989246,3.366319428298999,10.450058628495604,-7.710382480021966,2.6108483001602685,-4.896516771659773,-17.3197358895573,-1.9788805496225048,4.062609179020269,-12.82803038427738,4.003758720146371,-7.955454907485196,-19.175990168479085,-0.3236056926180411,-1.5554433867824091,-21.368602672942515,2.4221663346823394,0.0667071829149937,-0.9518010263123294,-39.19296138213844,102.231815427657,0.491299470697797,-0.089116355263934,3.590030966076468,3.676287619274216,0.91376945656899,-0.3821587215180075,-34.990068249530815,3.2745527891672697,-26.63083498302795,-39.01292148863601,1.6057312621973103,1.9944207496175448,-21.76839488738608,3.405739826612256,-17.539668945809396,-26.981813206525267,-0.3145245040304684,-1.498502181610374,2.386634844868735,0.1755,0.176280316541581,2.0163232734404293,3.954444309850431,0.77,0.02,0.0753333333333333,0.0224697327284702,0.1677791675228281,-1.3455105633802815,0.11,0.04,0.5033333333333334,0.6056034639560408,1.745614663254131,1.119233633618454,1.85,0.16,2.006644518272425,6.68141592920354,0.3003322259136212,0.6996677740863787,0.3486754966887417,0.1496688741721854
AA05_S202,236.60110473632807,31.21609687805176,342.617919921875,184.1857147216797,1.4628916662700726,2.1437435559776983,-132.108088215348,170.15627285403772,241.38895400862333,209.36981914926088,183.29846575543647,745.9812607237558,-532.619208031957,5.3553908976726365,-0.4453401885496895,2.214842992737969,-1.2128011455390324,3.421422576991909,326.7623596191406,9.180697441101074,342.617919921875,313.94354248046875,-0.0098021052367632,-1.2912815873951928,236.9377593994141,27.42273330688477,326.9902648925781,184.1857147216797,1.3087545386352206,2.2578863917241856,-15.281448212242786,3.2514179495844893,-0.831233452931701,0.4390540920773768,-62.60647975154463,60.12572806666134,-0.1969880585314656,-1.4991335424179209,9.11137875630467,12.654886972604045,1.7329320836943627,1.5863453738288635,-7.887251744636745,5.158623958603185,-4.205507043045492,-22.08376499523484,-2.02403917311059,2.8354706428343164,-19.93033848740969,0.780452373433641,-19.33200949013577,-21.03272192821821,-0.6993763826334796,-1.5,-28.29363858336142,3.320121100083118,0.0857337984470106,-1.1334390401895822,135.33340003338273,240.44338725718845,0.3703353567619855,-0.8936524887018678,3.992569702779531,3.440934787677091,0.2346050842649831,-1.8602153349885853,-15.517473153339695,0.0,-15.517473153339695,-15.517473153339695,,,-28.52248761058778,1.757405509423916,-25.39730663676942,-31.635488404028237,0.0384268335532521,-0.1328220001834728,2.918642831083546,0.2125,0.1491433873827465,0.4977851263498516,-1.2234752493608918,0.45,0.04,0.05,0.0216024689946928,0.0661300071266105,-1.2551020408163265,0.08,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
